
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

specie1,specie2,specie3,specie4,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,

5,5,6,4,
6,4,4,8,
6,5,4,5,
6,5,4,5,
5,1,5,17,
6,5,5,4,
5,4,5,8,
6,7,6,4,
5,5,6,4,
5,3,5,11,
5,5,7,3,
5,4,8,5,
5,4,6,7,
5,3,6,10,
6,5,5,4,
5,4,9,11,
6,4,7,5,
5,3,6,10,
5,6,7,7,
5,3,6,10,
6,5,6,3,
5,3,7,9,
6,5,4,5,
6,5,5,4,
5,3,7,9,
5,1,8,14,
5,7,9,2,
5,5,6,4,
6,5,4,5,
5,5,6,4,
5,6,7,7,
6,4,4,8,
6,4,4,8,
5,7,7,4,
6,5,4,5,
5,5,5,5,
5,4,8,5,
5,5,8,9,
5,2,7,12,
6,5,5,4,
6,5,4,5,
6,5,6,10,
6,5,6,10,
5,6,7,7,
5,4,7,6,
6,5,5,4,
5,5,5,5,
5,4,6,7,
6,7,7,3,
6,3,5,10,
5,4,7,6,
6,5,4,5,
5,3,6,10,
5,4,6,7,
6,5,6,3,
5,6,7,7,
5,4,5,8,
5,4,6,7,
5,5,5,5,
5,5,7,3,
6,5,5,4,
5,4,8,5,
5,7,9,2,
6,6,7,6,
6,5,4,5,
6,5,5,4,
5,8,10,5,
6,6,6,7,
5,6,10,4,
6,5,4,5,
5,5,7,10,
6,5,5,4,
5,4,6,7,
6,7,6,4,
5,6,7,7,
5,5,7,3,
6,5,4,5,
5,9,9,3,
5,5,7,3,
5,4,6,7,
6,5,5,4,
5,7,7,4,
6,5,5,4,
5,5,7,3,
5,4,5,8,
6,7,6,4,
6,5,5,4,
6,7,7,3,
5,3,6,10,
5,3,9,7,
5,4,5,8,
5,3,5,11,
6,5,4,5,
6,5,4,5,
6,5,4,5,
6,5,4,5,
5,5,5,5,
6,6,6,7,
5,7,7,4,
5,5,6,4,

5,7,9,2,
6,6,6,7,
6,5,4,5,
5,7,7,4,
5,0,7,21,
5,7,8,3,
6,4,5,7,
5,9,10,2,
6,5,5,4,
6,3,4,11,
5,4,7,6,
5,2,9,10,
5,3,7,9,
6,2,5,13,
6,5,5,4,
5,2,10,16,
5,5,10,7,
5,2,7,12,
5,4,7,13,
6,2,5,13,
6,5,6,3,
5,2,7,12,
6,5,4,5,
6,5,5,4,
6,3,8,7,
5,1,11,11,
5,8,11,4,
6,5,5,4,
5,6,7,7,
6,5,5,4,
6,5,6,10,
5,6,11,3,
5,6,8,6,
6,4,6,13,
6,5,4,5,
6,7,7,3,
6,4,7,5,
5,5,8,9,
6,1,8,13,
6,7,7,3,
5,6,7,7,
5,9,12,7,
5,7,9,9,
5,5,7,10,
5,3,9,7,
5,6,9,5,
6,5,4,5,
6,1,5,16,
5,9,11,1,
6,5,7,9,
5,6,9,5,
6,7,6,4,
5,1,7,15,
5,1,6,16,
6,5,6,3,
6,5,6,10,
6,1,5,16,
6,4,5,7,
5,5,5,5,
5,7,9,2,
5,7,8,3,
5,6,10,4,
6,7,8,2,
6,6,7,6,
6,5,4,5,
5,7,9,2,
6,8,9,5,
5,7,9,9,
6,4,9,10,
6,7,6,4,
5,8,11,11,
6,5,5,4,
6,3,5,10,
5,8,9,6,
6,6,6,7,
5,8,11,4,
6,5,4,5,
6,8,8,6,
6,4,7,5,
6,1,5,16,
5,7,8,3,
5,9,9,3,
5,7,9,2,
6,4,6,6,
5,5,7,10,
5,9,9,3,
6,5,5,4,
5,9,10,2,
5,5,8,9,
5,5,12,5,
5,5,7,10,
5,2,6,13,
5,7,8,3,
6,7,6,4,
5,6,7,7,
6,5,4,5,
5,4,7,6,
6,6,6,7,
5,4,8,12,
5,5,8,9,

5,4,11,9,
5,8,9,6,
5,5,7,10,
6,9,8,3,
5,2,9,20,
6,7,8,2,
6,4,5,7,
5,9,10,2,
5,7,10,1,
5,4,7,13,
6,0,7,17,
5,0,11,14,
5,3,10,13,
6,2,8,17,
6,7,7,3,
5,2,11,15,
5,4,10,10,
5,2,8,11,
6,4,6,13,
6,3,7,15,
5,9,11,1,
6,2,6,12,
5,7,8,3,
6,5,5,4,
6,3,8,7,
5,2,13,13,
6,7,10,7,
5,6,8,6,
6,6,9,4,
5,5,8,9,
6,5,6,10,
5,5,11,6,
6,6,7,6,
5,8,13,9,
6,5,4,5,
5,9,11,1,
5,6,10,4,
5,3,9,14,
5,3,12,11,
6,7,7,3,
5,7,12,6,
5,9,15,11,
6,7,8,9,
5,1,8,21,
6,3,8,7,
5,8,11,4,
5,7,7,4,
5,2,9,17,
6,9,10,1,
6,6,9,11,
6,6,8,5,
6,7,6,4,
5,0,7,18,
6,3,7,15,
5,7,10,1,
6,5,6,10,
6,1,5,16,
6,4,5,7,
5,4,5,8,
6,7,9,1,
6,6,8,5,
6,7,12,5,
5,9,12,0,
6,6,7,6,
6,7,8,2,
6,7,8,2,
6,8,9,5,
5,6,10,11,
6,4,11,15,
5,9,9,3,
6,8,11,10,
6,7,8,2,
6,5,7,9,
5,8,10,5,
5,8,9,6,
5,8,11,4,
6,5,4,5,
5,10,11,5,
6,6,9,4,
6,1,5,16,
6,7,8,2,
6,9,8,3,
5,9,12,0,
5,6,9,5,
5,6,10,11,
6,8,8,6,
6,5,5,4,
5,8,11,4,
5,7,11,7,
5,3,13,10,
5,5,9,8,
6,2,5,13,
6,6,8,5,
5,6,11,10,
6,6,8,5,
6,5,4,5,
5,4,7,6,
5,10,11,5,
5,6,10,11,
6,7,9,8,

6,4,13,6,
5,8,9,6,
5,5,10,14,
6,9,8,3,
6,2,10,18,
6,9,10,1,
6,4,5,7,
6,9,9,2,
5,8,12,3,
6,3,6,16,
5,2,10,16,
5,1,13,16,
5,5,12,12,
6,2,8,17,
5,6,10,11,
6,1,11,17,
5,6,12,9,
5,4,10,10,
6,4,6,13,
5,4,11,16,
6,9,10,1,
6,2,6,12,
5,8,12,3,
6,5,5,4,
6,5,10,6,
5,1,14,15,
6,7,10,7,
5,6,9,5,
6,8,11,3,
6,4,9,10,
5,6,9,12,
5,4,13,7,
6,6,7,6,
5,7,15,10,
6,5,4,5,
5,9,13,6,
6,6,10,3,
6,3,8,14,
5,2,13,13,
6,9,9,2,
5,6,13,8,
6,8,14,14,
