
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

specie1,specie2,specie3,specie4,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,
5,5,5,5,

6,4,4,8,
5,4,5,8,
5,6,8,6,
6,5,4,5,
5,3,7,9,
5,5,5,5,
6,5,4,5,
6,5,4,5,
6,7,7,3,
5,7,7,4,
5,5,8,2,
5,9,11,1,
6,5,4,5,
5,4,6,7,
5,5,5,5,
5,4,6,7,
6,5,4,5,
6,5,5,4,
6,5,4,5,
5,6,7,7,
5,4,6,7,
6,7,9,1,
6,5,4,5,
6,4,4,8,
6,5,5,4,
6,5,4,5,
5,4,6,7,
6,4,4,8,
6,4,4,8,
5,4,6,7,
5,3,6,10,
5,7,7,4,
6,5,5,4,
5,5,5,5,
6,5,4,5,
5,5,6,4,
6,5,4,5,
6,5,4,5,
6,5,4,5,
5,7,8,3,
5,8,10,5,
6,5,4,5,
5,7,9,2,
5,3,6,10,
5,3,6,10,
6,5,4,5,
6,5,4,5,
5,5,6,4,
5,7,7,4,
5,2,6,13,
6,5,4,5,
6,5,4,5,
6,5,4,5,
6,5,4,5,
6,5,4,5,
5,4,6,7,
5,4,8,5,
5,7,7,4,
6,4,7,5,
5,5,5,5,
5,5,6,4,
5,5,11,0,
5,5,6,4,
5,5,6,4,
5,3,7,9,
5,5,8,2,
5,4,6,7,
6,5,5,4,
6,5,4,5,
5,7,7,4,
5,7,7,4,
5,7,7,4,
6,7,6,4,
6,5,4,5,
6,5,6,10,
5,3,6,10,
6,5,4,5,
6,5,6,10,
5,9,9,3,
5,6,8,6,
5,5,5,5,
5,7,9,2,
5,4,5,8,
6,5,4,5,
5,8,11,4,
5,7,7,4,
5,7,8,3,
5,4,6,7,
6,4,5,7,
5,6,8,6,
6,5,4,5,
5,5,5,5,
5,7,7,4,
5,3,5,11,
5,7,8,3,
6,5,4,5,
5,2,7,12,
6,3,7,8,
5,5,8,9,
6,3,4,11,

5,4,8,12,
5,5,8,9,
5,7,11,7,
6,5,4,5,
5,7,11,7,
5,4,7,6,
6,6,6,7,
5,5,7,10,
6,9,9,2,
6,7,6,4,
6,7,9,1,
5,10,13,3,
5,6,9,5,
5,4,9,11,
5,5,6,4,
6,3,7,8,
5,7,7,4,
6,5,5,4,
6,5,4,5,
5,5,7,10,
5,5,10,7,
5,9,12,0,
5,7,7,4,
6,4,4,8,
5,7,8,3,
6,5,4,5,
5,6,10,4,
6,6,6,7,
5,5,11,13,
5,4,7,6,
5,4,10,10,
6,7,7,3,
5,5,8,9,
6,5,4,5,
5,6,7,7,
6,5,5,4,
5,7,7,4,
5,7,7,4,
5,6,9,5,
6,6,7,6,
5,7,10,8,
5,7,8,3,
5,7,12,0,
5,4,9,11,
5,3,7,9,
6,5,4,5,
5,7,7,4,
6,5,6,3,
5,6,7,7,
6,4,7,12,
5,5,10,7,
6,5,4,5,
5,7,8,3,
5,7,7,4,
5,7,7,4,
6,4,5,7,
5,2,10,9,
5,9,9,3,
6,6,9,4,
5,3,5,11,
5,5,8,2,
5,6,13,3,
5,9,10,2,
6,5,5,4,
6,2,8,10,
6,6,11,2,
6,4,6,6,
6,5,5,4,
6,5,4,5,
6,7,6,4,
6,7,6,4,
5,7,9,2,
6,9,8,3,
5,7,8,3,
6,7,10,7,
6,3,6,9,
6,6,7,6,
5,7,9,9,
6,9,9,2,
6,6,9,4,
5,4,5,8,
6,7,8,2,
6,4,5,7,
5,5,8,9,
6,8,12,2,
5,7,8,3,
6,7,7,3,
5,2,6,13,
6,4,5,7,
5,6,9,5,
5,3,9,14,
5,7,9,2,
5,9,9,3,
5,2,5,14,
5,5,10,7,
5,7,7,4,
6,2,6,12,
5,7,13,5,
5,5,10,7,
6,4,7,12,

6,3,10,19,
6,5,8,8,
5,4,11,16,
6,5,4,5,
5,7,12,6,
5,3,8,8,
6,6,6,7,
5,5,7,10,
5,11,14,0,
6,7,6,4,
6,7,9,1,
5,10,16,0,
5,6,11,3,
5,4,11,16,
6,5,5,4,
6,3,7,8,
6,7,6,4,
6,6,7,6,
6,5,4,5,
5,4,8,12,
5,5,11,6,
6,11,13,0,
6,5,6,10,
6,6,6,7,
5,7,11,7,
6,5,4,5,
6,5,10,6,
5,7,9,9,
6,4,10,16,
5,1,8,14,
5,4,14,6,
5,8,11,4,
6,4,7,12,
5,6,7,7,
5,6,7,7,
5,9,12,0,
6,9,9,2,
6,6,7,6,
5,5,10,7,
6,7,10,7,
6,7,9,8,
5,6,9,5,
5,11,16,0,
5,3,12,11,
5,5,9,8,
6,5,4,5,
5,6,8,6,
6,7,9,1,
5,5,8,9,
5,6,10,11,
5,3,10,13,
5,7,8,3,
5,11,13,0,
6,7,6,4,
5,6,8,6,
6,4,5,7,
5,2,12,7,
5,13,13,1,
5,8,12,3,
5,3,8,8,
6,3,7,8,
6,6,12,3,
5,7,10,8,
5,6,8,6,
6,2,10,15,
6,8,13,1,
6,4,6,6,
5,5,8,9,
6,5,7,9,
6,7,6,4,
6,9,12,0,
6,7,8,2,
6,9,8,3,
6,7,7,3,
5,7,13,12,
6,5,8,8,
6,6,7,6,
6,7,9,8,
5,13,14,0,
6,6,9,4,
5,4,6,7,
6,9,12,0,
6,4,5,7,
5,6,11,10,
6,8,12,2,
5,10,13,3,
6,7,7,3,
6,2,5,13,
6,4,5,7,
6,5,8,8,
5,2,9,17,
5,5,10,7,
5,8,9,6,
5,4,7,13,
6,5,10,6,
6,7,6,4,
5,4,9,11,
5,9,19,7,
6,5,10,6,
6,4,7,12,

6,5,12,18,
5,7,11,7,
5,2,11,22,
6,7,6,4,
5,7,12,6,
6,2,7,11,
6,6,6,7,
5,5,7,10,
6,11,13,0,
6,7,6,4,
6,7,9,1,
6,9,16,2,
5,4,11,9,
5,4,13,14,
6,5,5,4,
5,4,12,8,
6,7,6,4,
6,6,7,6,
6,5,4,5,
6,4,9,10,
6,5,10,6,
6,11,13,0,
5,7,9,9,
6,7,8,9,
6,6,12,8,
6,8,8,6,
6,5,10,6,
5,7,9,9,
6,4,10,16,
5,1,9,13,
6,3,13,9,
5,7,12,6,
5,8,14,8,
5,4,9,11,
6,6,6,7,
6,9,11,0,
6,11,11,1,
6,8,9,5,
5,5,10,7,
6,9,13,5,
6,7,9,8,
5,5,11,6,
