
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,

specie1,specie2,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,

96,4,
94,6,
91,9,
99,1,
93,7,
98,2,
91,9,
97,3,
92,8,
96,4,
93,7,
92,8,
97,3,
92,8,
96,4,
97,3,
97,3,
97,3,
96,4,
92,8,
96,4,
97,3,
97,3,
97,3,
92,8,
97,3,
94,6,
97,3,
94,6,
98,2,
97,3,
96,4,
92,8,
92,8,
99,1,
94,6,
95,5,
95,5,
91,9,
94,6,
94,6,
96,4,
92,8,
97,3,
95,5,
94,6,
93,7,
95,5,
97,3,
97,3,
95,5,
97,3,
92,8,
95,5,
92,8,
96,4,
92,8,
95,5,
94,6,
99,1,
94,6,
92,8,
98,2,
96,4,
94,6,
93,7,
92,8,
98,2,
94,6,
94,6,
91,9,
95,5,
97,3,
95,5,
92,8,
98,2,
92,8,
98,2,
96,4,
92,8,
96,4,
96,4,
93,7,
93,7,
97,3,
92,8,
98,2,
91,9,
92,8,
99,1,
94,6,
92,8,
96,4,
97,3,
90,10,
99,1,
95,5,
97,3,
92,8,
89,11,

91,9,
89,11,
89,11,
94,6,
86,14,
95,5,
89,11,
92,8,
88,12,
94,6,
87,13,
86,14,
87,13,
88,12,
91,9,
89,11,
92,8,
95,5,
92,8,
87,13,
92,8,
92,8,
92,8,
94,6,
89,11,
89,11,
90,10,
89,11,
92,8,
92,8,
92,8,
93,7,
89,11,
85,15,
94,6,
92,8,
88,12,
88,12,
86,14,
85,15,
90,10,
90,10,
84,16,
91,9,
92,8,
88,12,
89,11,
89,11,
94,6,
91,9,
93,7,
92,8,
89,11,
84,16,
87,13,
92,8,
85,15,
88,12,
87,13,
